2015 8 29 0 9 53     0.00 16936.81 44431.68 47550.29 21.08 
2015 8 29 0 10 1     0.00 16936.57 44431.44 47549.98 21.12 
2015 8 29 0 10 9     0.00 16937.05 44431.92 47550.59 21.11 
2015 8 29 0 10 17     0.00 16937.52 44430.72 47549.65 21.11 
2015 8 29 0 10 25     0.00 16937.76 44431.68 47550.63 21.13 
2015 8 29 0 10 33     0.00 16938.24 44431.92 47551.02 21.11 
2015 8 29 0 10 40     0.00 16938.24 44431.44 47550.57 21.10 
2015 8 29 0 10 48     0.00 16938.96 44430.96 47550.38 21.11 
2015 8 29 0 10 56     0.00 16938.96 44430.49 47549.94 21.10 
2015 8 29 0 11 4     0.00 16938.96 44430.96 47550.38 21.07 
2015 8 29 0 11 12     0.00 16938.72 44431.92 47551.19 21.09 
2015 8 29 0 11 20     0.00 16938.96 44431.68 47551.05 21.16 
2015 8 29 0 11 28     0.00 16939.44 44431.20 47550.78 21.11 
2015 8 29 0 11 36     0.00 16938.96 44431.44 47550.83 21.06 
2015 8 29 0 11 44     0.00 16938.96 44431.92 47551.28 21.07 
2015 8 29 0 11 52     0.00 16938.96 44431.44 47550.83 21.08 
2015 8 29 0 11 59     0.00 16938.48 44431.68 47550.88 21.10 
2015 8 29 0 12 7     0.00 16938.48 44430.72 47549.99 21.16 
2015 8 29 0 12 15     0.00 16938.96 44430.25 47549.71 21.15 
2015 8 29 0 12 23     0.00 16938.72 44429.77 47549.18 21.13 
2015 8 29 0 12 31     0.00 16938.24 44430.96 47550.13 21.13 
2015 8 29 0 12 39     0.00 16937.76 44429.29 47548.39 21.07 
2015 8 29 0 12 47     0.00 16938.72 44429.53 47548.96 21.12 
2015 8 29 0 12 55     0.00 16938.48 44429.77 47549.09 21.13 
2015 8 29 0 13 3     0.00 16939.20 44428.81 47548.46 21.13 
2015 8 29 0 13 11     0.00 16938.72 44429.53 47548.96 21.14 
2015 8 29 0 13 19     0.00 16939.20 44429.77 47549.35 21.11 
2015 8 29 0 13 26     0.00 16939.44 44429.77 47549.44 21.12 
2015 8 29 0 13 34     0.00 16939.92 44430.49 47550.28 21.09 
2015 8 29 0 13 42     0.00 16940.16 44429.77 47549.69 21.10 
2015 8 29 0 13 50     0.00 16940.16 44429.77 47549.69 21.11 
2015 8 29 0 13 58     0.00 16940.87 44430.49 47550.62 21.13 
2015 8 29 0 14 6     0.00 16940.63 44429.77 47549.86 21.10 
2015 8 29 0 14 14     0.00 16940.87 44430.25 47550.39 21.12 
2015 8 29 0 14 22     0.00 16941.59 44430.25 47550.65 21.12 
2015 8 29 0 14 30     0.00 16941.83 44430.72 47551.18 21.10 
2015 8 29 0 14 38     0.00 16941.11 44429.29 47549.59 21.09 
2015 8 29 0 14 46     0.00 16941.59 44428.81 47549.31 21.10 
2015 8 29 0 14 53     0.00 16941.59 44430.01 47550.43 21.14 
2015 8 29 0 15 1     0.00 16941.35 44430.25 47550.56 21.14 
2015 8 29 0 15 9     0.00 16942.07 44429.53 47550.15 21.13 
2015 8 29 0 15 17     0.00 16942.31 44429.53 47550.23 21.10 
2015 8 29 0 15 25     0.00 16942.79 44430.01 47550.85 21.14 
